"gene_id","SRR1177997","SRR1177999","SRR1178002","SRR1178014","SRR1178021","SRR1178047","SRR1177963","SRR1177964","SRR1177965"
"NM_001172809","312","368","261","337","497","551","268","299","289"
"NM_001135742","693","730","831","771","1272","963","749","638","668"
"NM_031508","44","35","38","61","95","202","26","15","20"
"NM_053628","964","1302","1061","906","1203","1265","948","1090","1026"
"NM_021694","1338","1755","1619","1616","1763","1897","1369","1319","1248"
"NM_001107493","443","461","475","921","1117","923","573","794","718"
"NM_173294","25515","25593","26116","15063","8174","8608","14338","15307","11772"
"NM_001012065","377","310","347","567","856","949","391","409","393"
"NM_017093","2016","2038","1872","2145","2114","2366","1640","1947","1582"
"NM_012693","23378","38089","32450","10653","3873","3372","25121","24742","21279"
"NM_012787","0","0","0","0","0","0","0","0","0"
"NM_001100845","6","17","14","12","2","4","2","12","4"
"NM_001164656","0","0","0","0","0","0","0","0","0"
"NM_031675","6543","6842","6349","7844","7707","8580","5255","5421","5209"
"NM_001082549","26","24","12","31","23","15","17","36","15"
"NM_199087","0","0","0","0","0","0","0","0","0"
"NM_130824","52","67","62","44","34","46","34","18","29"
"NM_001191623","36","68","48","48","112","170","76","37","49"
"NM_001100991","91","89","121","83","144","130","127","108","108"
"NM_001127579","333","516","386","318","316","344","381","307","273"
"NM_001098240","652","755","641","780","798","905","838","765","804"
"NM_144749","10","10","6","20","8","17","14","8","11"
"NM_172317","10","10","6","2","8","10","14","6","4"
"NM_001107504","0","0","0","0","0","2","0","0","0"
"NM_001127599","336","331","289","384","363","469","195","250","266"
"NM_001009641","1026","1275","1078","1222","1375","1415","974","995","903"
"NM_001106246","244","299","285","218","334","307","314","332","289"
"NM_012831","882","996","952","1601","1478","1746","1362","1472","1246"
"NM_001106248","597","552","501","647","827","742","570","619","556"
"NM_001100821","18","18","22","42","114","138","67","54","36"
"NM_001107507","498","472","490","690","1000","1292","773","884","654"
"NM_023098","3054","4259","3901","2266","1821","2360","1317","1370","1501"
"NM_001270985","2","0","0","0","1","0","0","4","0"
"NM_022797","18","26","12","15","14","10","8","8","10"
"NM_001039665","29","60","28","144","64","200","27","23","7"
"NM_212521","0","0","0","0","6","0","2","0","0"
"NM_138529","1704","2685","1559","2034","2215","1970","1120","1151","1492"
"NM_203334","0","0","0","0","0","0","0","0","0"
"NM_053427","0","0","0","0","0","0","0","0","0"
"NM_001107518","592","715","627","609","799","796","573","719","573"
"NM_001107520","1191","1511","1096","1520","1800","1675","1085","1283","1428"
"NM_001271493","48","13","34","9","12","4","17","17","2"
"NM_017295","0","0","0","0","0","0","0","0","0"
"NM_024370","0","0","2","0","0","0","0","0","0"
"NM_001191837","699","654","650","839","969","934","763","755","834"
"NM_001141935","12","6","10","12","6","117","18","8","14"
"NM_012832","0","0","0","0","0","0","0","0","0"
"NM_001037733","0","0","0","0","0","0","0","0","0"
"NM_031780","4","12","10","0","0","2","0","1","0"
"NM_001037734","0","0","0","0","0","0","0","0","0"
"NM_001100846","804","857","722","632","773","597","1004","1021","948"
"NM_012999","1312","1228","1133","1934","2602","2511","685","760","627"
"NM_001014020","105","100","142","138","220","217","192","222","203"
"NM_001108915","109","140","96","107","154","128","106","95","74"
"NM_001127561","18","23","6","2","2","6","6","8","0"
"NM_153300","160","182","157","136","85","145","117","97","136"
"NM_001191624","459","510","444","338","281","390","291","247","174"
"NM_001108486","565","701","554","756","794","623","603","556","500"
"NM_001025681","376","538","358","452","486","430","579","491","462"
"NM_052807","32","14","16","33","40","32","19","12","14"
"NM_001191625","114","95","81","114","156","135","75","114","75"
"NM_001107524","6","10","8","10","8","18","8","0","10"
"NM_001107523","1569","1408","1210","1098","1356","1443","1565","1654","1467"
"NM_057207","2","4","0","0","6","2","0","0","0"
